source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,year,capacity_units,annual_capacity_t,capacity_factor,annual_emissions_co2e_t,production_t,production_source,production_year,data_tier,fuel_energy_tj,useful_heat_tj,useful_heat_mwh,heat_method,food_country_scale,ct_country_artifact,SiteID,SiteName,CompanyName,match_confidence,distance_km,name_similarity,annual_output_t,production_2014_t,bench_heat_tj,band_source,heat_below100C_tj,heat_100C-200C_tj,heat_200C-500C_tj,heat_500C-1000C_tj,heat_above1000C_tj,bench_heat_mwh,fossil_share,fossil_share_basis,replaceable_heat_mwh
38480670,Adm Czernin Sa,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,53.90861,19.08583,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38480712,Adm Szamotuły Sp. Z O.O.,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,52.597514,16.59073,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38480713,Agro-Handel Sp.Z O.O. Mościszki,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,52.009722,16.933333,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38480800,Animex Foods Sp. Z O.O. Sp.K.,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,52.127732,19.17625,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38480667,Animex Foods Spółka Z Ograniczoną Odpowiedzialnością S.K.  Oddział W Suwałkach,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,54.05666,22.93166,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38480801,Animex Foods Spółka Z Ograniczoną Odpowiedzialnością Sp.K. Oddział W Ełku,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,53.847099,22.390039,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
45257229,Anwil,ammonia,POL,manufacturing,chemicals,52.6986934223594,18.9685232403693,2024,t of chemical,966000.0,0.6947459834997828,1328826.7477203647,671124.6200607902,climate_trace,2024.0,1.0,6040.121580547112,5436.109422492401,1510030.395136778,production_sec,,False,802.0,Zakład PTA we Włocławku,,high,0.1760961756447112,0.5,671124.6200607902,,7563.574468085106,benchmark,0.0,0.0,0.0,5042.382978723404,2521.191489361702,2100992.907801418,0.9946242255146308,country,1501912.8122664697
1567002,ArcelorMittal Dąbrowa Górnicza steel plant,BF/BOF,POL,manufacturing,iron-and-steel,50.3402037458102,19.3116488426648,2024,t of steel,5001000.0,0.7226528010911869,6866574.650688349,3613986.6582570258,climate_trace,2024.0,1.0,17347.135959633724,12142.995171743609,3373054.214373224,production_sec,,False,792.0,Koksownia Przyjaźń ,,low,1.815125497857821,0.3076923076923077,3613986.6582570258,2481938.66,17488.08143930575,benchmark,0.0,0.0,1942.879227478977,9326.253970298085,6218.948241528691,4857800.399807153,0.9998320444466932,country,3372487.691186315
1567006,ArcelorMittal Warszawa steel plant,EAF,POL,manufacturing,iron-and-steel,52.29727038328,20.9256172688383,2024,t of steel,750000.0,0.7460173436552182,70498.63897541816,559513.0077414137,climate_trace,2024.0,1.0,1398.782519353534,979.1477635474738,271985.4898742983,production_sec,,False,794.0,ARCELORMITTAL WARSZAWA Sp. z o.o.,AM Global Holding S.A.R.L. z siedzibą w Luxemburgu ,high,0.6912667653875328,0.8135593220338984,559513.0077414137,1289775.82,1751.8352272383663,benchmark,0.0,5.483227475865854,0.0,295.53477068901475,1450.8172290734858,486620.8964551018,0.9998320444466932,country,271939.808400855
38469206,Ardagh Glass S.A.,Glass Manufacturing,POL,manufacturing,glass,51.887161,17.001426,2024,USD,,,33709.942361503905,114867.04,hotmaps,2014.0,2.0,746.63576,335.986092,93329.47,production_sec,,False,4518.0,Ardagh Glass S.A. Zakład w Gostyniu,Ardagh Glass S.A.,high,0.0914315163404592,1.0,,114867.04,901.59139696,benchmark,18.031827939200003,182.7844747408,265.57144780959993,192.1932339872,243.0104124832,250442.05471111104,0.9997276707798296,country,93304.05365821598
