source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,capacity_units,capacity,capacity_factor,annual_emissions_co2e_t,year,annual_capacity_t,annual_output_t,distance_km,SiteID,CompanyName,SiteName,City,Country,Subsector,Emissions_ETS_2014,production_2014_t,Fuel_Demand,Excess_Heat_Total,hm_lat,hm_lon,name_similarity,match_confidence,output_ratio_2024_2014
38469146,Saint-Gobain Isover Austria Gmbh,Glass Manufacturing,AUT,manufacturing,glass,48.03389,16.019,USD,,,25206.02131318956,2024,,,,,,,,,,,,,,,,,unmatched,
38472842,Seibersdorfer Bettfedern- Und Daunenfabrik Gmbh,Manufacturer| Wet Processing,AUT,manufacturing,textiles-leather-apparel,47.9170893,16.4255328,USD,,,9237.590048999526,2024,,,,,,,,,,,,,,,,,unmatched,
38469184,Stölzle-Oberglas Gmbh,Glass Manufacturing,AUT,manufacturing,glass,47.066387,15.0775,USD,,,25206.02131318956,2024,,,0.10633412605798435,1629.0,Stölzle-Oberglas GmbH,Stölzle-Oberglas Köflach,Köflach,Austria,Glass,46454.0,86351.67,138.64,27.72,47.067256,15.078086,1.0,high,
44375329,UPM-Kymmene Steyrermuhl Austria GmbH,Chemical wood pulp,AUT,manufacturing,pulp-and-paper,47.9915494,13.8000831,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,2024,337999.99999,260039.19997,1.9458753122382695,1666.0,Laakirchen Papier AG,SCA Laakirchen,Laakirchen,Austria,Paper and printing,2181.0,,12.63,0.0,47.98256,13.822516,0.25,low,
38469123,Vetropack Austria Gmbh,Glass Manufacturing,AUT,manufacturing,glass,48.0565,14.144222,USD,,,25206.02131318956,2024,,,0.25510004695422,1645.0,Vetropack Austria GmbH,Vetropack Kremsmünster,Kremsmünster,Austria,Glass,64209.0,119355.8,191.63,38.32,48.056022,14.140865,1.0,high,
38469169,Vetropack Austria Gmbh,Glass Manufacturing,AUT,manufacturing,glass,48.210835,15.220556,USD,,,25206.02131318956,2024,,,0.4475149864645707,1652.0,Vetropack Austria GmbH,Vetropack Pöchlarn,Pöchlarn,Austria,Glass,56240.0,104542.51,167.84,33.56,48.206813,15.220773,1.0,high,
32437245,Vils Cement Plant,integrated dry,AUT,manufacturing,cement,47.5523694919457,10.6384596501965,t of cement,300000.00001,0.4855097439071496,114432.2190976,2024,300000.00001,145652.923177,0.10359623489297434,18.0,Schretter & CIE GmbH & Co KG,SCHRETTER & CIE GmbH & Co KG,Vils,Austria,Cement,196542.0,294321.43,286.14,42.92,47.55153,10.637861,0.3333333333333333,high,0.49487705729412906
1566430,Voestalpine Stahl Donawitz steel plant,BF/BOF,AUT,manufacturing,iron-and-steel,47.3812785393747,15.0626634798431,t of steel,1570000.0000000002,0.7972928842490903,2378324.6737150364,2024,1570000.0000000002,1251749.828271072,1.655830761449965,1643.0,voestalpine Schienen GmbH,voestalpine Schienen GmbH,Leoben,Austria,Iron and steel,51351.0,130541.98,,0.0,47.374575,15.0823,0.6153846153846154,medium,9.58886810412307
1566429,Voestalpine Stahl Linz steel plant,BF/BOF,AUT,manufacturing,iron-and-steel,48.2800817722905,14.3312483129851,t of steel,6000000.0,0.882997718386658,10066173.989607904,2024,6000000.0,5297986.310319948,0.8979441149694817,2.0,voestalpine AG,voestalpine Stahl GmbH,Linz,Austria,Iron and steel,8698426.0,8444892.86,19732.48,966.36,48.281944,14.343056,0.7555555555555555,high,0.6273598017346484
32437246,Wietersdorf Cement Plant,integrated dry,AUT,manufacturing,cement,46.8508788768487,14.533475311296,t of cement,500000.0000400001,0.563312303654935,165380.04267,2024,500000.0000400001,281656.15185,0.04810152960078409,6.0,w&p GmbH,w&p Zement GmbH,Klein St. Paul,Austria,Cement,397425.0,729352.88,709.09,106.36,46.850555,14.533056,0.5,high,0.3861726738502767
38476726,Wolford Ag,Finished Goods,AUT,manufacturing,textiles-leather-apparel,47.4177188,9.6542278,USD,,,9237.590048999526,2024,,,,,,,,,,,,,,,,,unmatched,
32437239,Wopfinger Cement Plant,integrated dry,AUT,manufacturing,cement,47.8730536970234,16.0856916114804,t of cement,500000.0000400001,0.3717829629922572,109149.9011907,2024,500000.0000400001,185891.48151099996,0.09093448719778693,3.0,Schmid Industrieholding,Wopfinger Baustoffindustrie,Waldegg,Austria,Cement,364798.0,477398.78,464.13,69.62,47.87225,16.085917,0.5116279069767442,high,0.38938407322909363
44375327,Ybbstaler Zellstoff GmbH,"Pulp misc. (known types include chemical wood pulp, mechanical and semi-chemical wood pulp)",AUT,manufacturing,pulp-and-paper,48.0250129,14.7628564,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,2024,337999.99999,260039.19997,0.7505832458245176,22.0,Mondi Neusiedler GmbH,Ybbstaler Zellstoff GmbH,Kematen,Austria,Paper and printing,37376.0,,,0.0,48.022778,14.753333,1.0,high,
38468967,3B-Fibreglass,Glass Manufacturing,BEL,manufacturing,glass,50.65116,5.803042,USD,,,46519.50737093649,2024,,,1.2027439960056694,1724.0,3B-Fibreglass,3B-Fibreglass Battice,Battice,Belgium,Glass,60764.0,,,0.0,50.64827,5.819481,1.0,medium,
38469196,Agc Flat Glass Europe - Site De Roux  (Ex-Glaverbel Sa),Glass Manufacturing,BEL,manufacturing,glass,50.4553,4.4004,USD,,,46519.50737093649,2024,,,1.30522012557714,1727.0,AGC Flat Glass Europe,AGC Flat Glass Roux,Roux,Belgium,Glass,16252.0,16592.46,50.33,10.06,50.444134,4.394715,0.6176470588235294,medium,
38469213,Agc Glass Europe - Site De Moustier (Ex-Glaverbel Sa),Glass Manufacturing,BEL,manufacturing,glass,50.4475,4.6926,USD,,,274279.0154590416,2024,,,0.0,39.0,AGC GLASS EUROPE sa,AGC GLASS EUROPE - Site de Moustier (ex-GLAVERBEL sa),Moustier-sur-Sambre,Belgium,Glass,371132.0,378906.86,1149.35,229.87,50.4475,4.6926,1.0,high,
38469239,Agc Glass Europe Vestiging Mol,Glass Manufacturing,BEL,manufacturing,glass,51.18836,5.155452,USD,,,103366.34537822088,2024,,,0.6407779273823137,1701.0,AGC Flat Glass Europe,AGC Flat Glass Europe Mol Plant,Mol,Belgium,Glass,93571.0,95531.22,289.77,57.95,51.193368,5.160001,0.7272727272727273,high,
38480249,Alpro,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.809956,3.211288,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
32437251,Antoing Cement Plant,integrated dry,BEL,manufacturing,cement,50.5765558254982,3.44408026408596,t of cement,799999.9999800002,0.4977893603299446,136233.00097690002,2024,799999.9999800002,398231.488254,0.12143287794580117,27.0,S.A. Cimenteries CBR,CBR sa - Site d'Antoing,Antoing,Belgium,Cement,642502.0,851461.22,827.8,124.17,50.576,3.4426,0.4375,high,0.4677036122138364
45257032,Antwerp Chemical Complex,methanol,BEL,manufacturing,chemicals,51.3591321,4.2694988,t of chemical,400000.00000000006,0.8899999999999999,133500.0,2024,400000.00000000006,356000.0,0.3519490395348027,57.0,STYROLUTION BELGIUM,STYROLUTION BELGIUM,Antwerpen,Belgium,Chemical industry,112505.0,,,0.0,51.35627,4.2673345,0.13953488372093023,high,
1566442,Aperam Stainless Belgium Châtelet steel plant,EAF,BEL,manufacturing,iron-and-steel,50.414955940121,4.53186650417152,t of steel,1000000.0,0.790175960784847,164988.74061187604,2024,1000000.0,790175.960784847,0.2824169991183768,33.0,Aperam Stainless Belgium SA,APERAM STAINLESS BELGIUM SA,Châtelet,Belgium,Iron and steel,168743.0,406827.05,80.8,38.78,50.416,4.5355,0.7619047619047619,high,1.942289630900519
1566441,Aperam Stainless Belgium Genk steel plant,EAF,BEL,manufacturing,iron-and-steel,50.9330895511162,5.51202361169479,t of steel,1200000.0,0.7901759607848471,197986.4887342513,2024,1200000.0,948211.1529418164,1.067203798549621,30.0,APERAM STAINLESS BELGIUM,APERAM STAINLESS BELGIUM,Genk,Belgium,Iron and steel,144793.0,349085.35,69.33,33.28,50.938103,5.499037,0.8135593220338984,medium,2.716273120432629
1566440,ArcelorMittal Gent steel plant,BF/BOF,BEL,manufacturing,iron-and-steel,51.1710954920418,3.80755559465241,t of steel,5000000.0,0.7584650560773878,7205418.032735184,2024,5000000.0,3792325.2803869382,0.784614690962704,56.0,ARCELORMITTAL BELGIUM,ARCELORMITTAL BELGIUM - GENT,Gent,Belgium,Iron and steel,4053039.0,9771581.12,27343.49,1918.42,51.176716,3.8143601,0.72,high,0.3880974055084075
38471296,Avs Spinning Nv,Yarn Spinning,BEL,manufacturing,textiles-leather-apparel,50.7223824,3.3315012,USD,,,14457.116642619272,2024,,,,,,,,,,,,,,,,,unmatched,
