source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,capacity_units,capacity,capacity_factor,annual_emissions_co2e_t,year,annual_capacity_t,annual_output_t
38479037,Darvodelnitsa Eood,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.5728211,23.7282719,USD,,,1156.4752081996533,2024,,
38479093,Designer Concepts Eood,Finished Goods,BGR,manufacturing,textiles-leather-apparel,42.6270424,23.4466431,USD,,,1156.4752081996533,2024,,
32437257,Devnya Cement Plant,integrated dry,BGR,manufacturing,cement,43.2344758161164,27.5948982801824,t of cement,1499999.9999000002,0.4001979133333465,205358.557729,2024,1499999.9999000002,600296.86996
38479114,Dexa Group Ltd,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,43.5870818,27.8348966,USD,,,1156.4752081996533,2024,,
45257068,Dimitrovgrad Fertilizer Complex,ammonia,BGR,manufacturing,chemicals,42.0514348,25.6174539,t of chemical,766500.0,0.2583170254403131,392040.0,2024,766500.0,198000.0
38475511,Diss-3 Eood,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.5546421,23.2647575,USD,,,1156.4752081996533,2024,,
38475621,E Miroglio Ead Spinning And Dyeing Yambol,Wet Process| Spinning,BGR,manufacturing,textiles-leather-apparel,42.4841999,26.5035023,USD,,,1156.4752081996533,2024,,
38469517,E.Miroglio Ead,Wet Process| Spinning,BGR,manufacturing,textiles-leather-apparel,42.660231,26.3334882,USD,,,1156.4752081996533,2024,,
38475612,Elena Fashion Ltd,Cut & Sew|Cutting|Ironing|Packaging|Product Finishing,BGR,manufacturing,textiles-leather-apparel,42.6742395,23.3007492,USD,,,1156.4752081996533,2024,,
38479162,Elit Jsc.,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,43.2388431,25.2994166,USD,,,1156.4752081996533,2024,,
38479234,Et Boris-Burov 2878,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.39810809999999,23.2066849,USD,,,1156.4752081996533,2024,,
38479237,Et Vasti 2 -Rosen Mitov,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.5635838,23.2802706,USD,,,1156.4752081996533,2024,,
38479333,Fashco Fashion Service Company Ltd,Washing|Product Finishing|Dyeing,BGR,manufacturing,textiles-leather-apparel,43.4599598,25.7391449,USD,,,1156.4752081996533,2024,,
38470276,Fashion Mania,Cutting|Garment Washing|Garment Linking|Packing|Steaming|Stitching,BGR,manufacturing,textiles-leather-apparel,43.4180995,24.628739,USD,,,1156.4752081996533,2024,,
38479419,Feshko Fashion Services Company Ood,Product Finishing,BGR,manufacturing,textiles-leather-apparel,42.8799008,27.8811178,USD,,,1156.4752081996533,2024,,
38474505,Geana Ltd.,Cut & Sew|Product Finishing,BGR,manufacturing,textiles-leather-apparel,43.7979981,25.9053209,USD,,,1156.4752081996533,2024,,
38477463,Greek Style,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.5678434,23.2803538,USD,,,1156.4752081996533,2024,,
38472264,Hrisa Tekstil,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.4214375,23.2143125,USD,,,1156.4752081996533,2024,,
38479722,Izi Company Ltd,Washing,BGR,manufacturing,textiles-leather-apparel,43.7666556,25.9648501,USD,,,1156.4752081996533,2024,,
38471178,Kalinel Ltd.,Weaving|Sewing|Cutting|Embroidery|Filling|Finishing|Packing|Shipping,BGR,manufacturing,textiles-leather-apparel,42.8710995,24.7279875,USD,,,1156.4752081996533,2024,,
38480258,Karlsberg Bg Brewery,Animal And Vegetable Products From The Food And Beverage Sector,BGR,manufacturing,food-beverage-tobacco,42.004527,23.092694,USD,,,159814.6728045175,2024,,
40691242,"Lukoil Neftohim Burgas, Burgas",Flex Integrated,BGR,manufacturing,petrochemical-steam-cracking,42.5403,27.32689,t of ethylene,249999.99995999996,0.7292900002766867,241079.95031999997,2024,249999.99995999996,182322.50004000004
38480055,Manchevi Eood,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,42.0774024,26.6532307,USD,,,1156.4752081996533,2024,,
38480171,Modelo Ltd.,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.5196569,23.7960616,USD,,,1156.4752081996533,2024,,
38477988,Nova Linia,Cut & Sew|Ironing|Packaging|Product Finishing,BGR,manufacturing,textiles-leather-apparel,43.7979981,25.9053209,USD,,,1156.4752081996533,2024,,
38468974,Rubin Invest Ad,Glass Manufacturing,BGR,manufacturing,glass,43.439722,24.565694,USD,,,69510.64989878115,2024,,
38468975,Rubin Traiding Glass Manufacturing Company,Glass Manufacturing,BGR,manufacturing,glass,43.440028,24.564889,USD,,,69510.64989878115,2024,,
38476354,S&P Textile Eood,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.5503364,23.2642621,USD,,,1156.4752081996533,2024,,
38478005,Saime Stil Eood,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.5718061,23.9467592,USD,,,1156.4752081996533,2024,,
45257185,Solvay Sodi Devnya Soda Ash Plant,soda_ash,BGR,manufacturing,chemicals,43.199671,27.64172,t of chemical,1600000.0000000002,0.7782408388805235,529203.7704387562,2024,1600000.0000000002,1245185.3422088379
