source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,gas,activity_units,capacity_units,emissions_factor,emissions_factor_units,temporal_granularity,year,months_reported,annual_output_t,annual_emissions_co2e_t,avg_monthly_capacity_t,avg_capacity_factor
44375361,Suzano - Unidade Rio Verde,Pulp misc.,BRA,manufacturing,pulp-and-paper,-23.4979,-46.330866,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000392198,t of CO2e_100yr per t of pulp & paper,month,2024,12,21102.385013,12260.4856979,2024.1210864166667,0.8687879871499528
44375360,Suzano - Unidade Suzano,Pulp misc.,BRA,manufacturing,pulp-and-paper,-23.54361111,-46.27444444,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000219281,t of CO2e_100yr per t of pulp & paper,month,2024,12,261669.57413999998,152030.02260999999,25099.101470000005,0.8687879871353347
44375374,Suzano - Unit Jacarei,Pulp misc.,BRA,manufacturing,pulp-and-paper,-22.37472222,-46.02916667,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000011444,t of CO2e_100yr per t of pulp & paper,month,2024,12,464252.47033,269730.68527,44530.663904999994,0.8687879871572964
44375351,Suzano - Veracel,Pulp misc.,BRA,manufacturing,pulp-and-paper,-16.08944444,-39.40888889,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999936267,t of CO2e_100yr per t of pulp & paper,month,2024,12,242677.42763999998,140995.58544,23277.392494166666,0.8687879871012026
44375362,Sylvamo Corporation Brazil - Luiz Antônio Unit,Pulp misc.,BRA,manufacturing,pulp-and-paper,-21.57166667,-47.91416667,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000079719,t of CO2e_100yr per t of pulp & paper,month,2024,12,81455.206152,47325.47478,7813.107394083334,0.8687879871129199
44375373,Sylvamo Corporation Brazil - Mogi Guaçu Unit,Pulp misc.,BRA,manufacturing,pulp-and-paper,-22.35972222,-46.97277778,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000079719,t of CO2e_100yr per t of pulp & paper,month,2024,12,81455.206152,47325.47478,7813.107394083334,0.8687879871129199
44375345,Sylvamo Corporation Brazil - Três Lagoas Unit,Pulp misc.,BRA,manufacturing,pulp-and-paper,-20.997028,-51.795113,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000079719,t of CO2e_100yr per t of pulp & paper,month,2024,12,81455.206152,47325.47478,7813.107394083334,0.8687879871129199
44375365,Trombini - Parana Corrugated Cardboard,Pulp misc.,BRA,manufacturing,pulp-and-paper,-25.40972222,-49.30388889,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999874737,t of CO2e_100yr per t of pulp & paper,month,2024,12,37984.293025,22068.874247,3643.4179559166664,0.8687879870979955
44375357,Trombini - Rio Grande do Sul Corrugated cardboard,Pulp misc.,BRA,manufacturing,pulp-and-paper,-29.21972222,-51.32861111,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000011444,t of CO2e_100yr per t of pulp & paper,month,2024,12,46425.247033,26973.068527000003,4453.0663905,0.8687879871572964
44375366,Trombini - Santa Catarina Corrugated Cardboard and Cellulose and Paper,Pulp misc.,BRA,manufacturing,pulp-and-paper,-27.02138889,-50.9225,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999874737,t of CO2e_100yr per t of pulp & paper,month,2024,12,37984.293025,22068.874247,3643.4179559166664,0.8687879870979955
44375352,Veracel Celulose S/A - Joint venutre of Aracruz Celulose and Stora Enso,Pulp misc.,BRA,manufacturing,pulp-and-paper,-16.08916667,-39.40833333,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999936267,t of CO2e_100yr per t of pulp & paper,month,2024,12,242677.42763999998,140995.58544,23277.392494166666,0.8687879871012026
44375404,AV Cell Inc. - Specialty Cellulose Mill,Pulp misc.,CAN,manufacturing,pulp-and-paper,47.99236,-66.72732,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999984336,t of CO2e_100yr per t of pulp & paper,month,2024,12,58040.672173,33721.630531,5199.873494416667,0.9301616060988719
44375377,Alberta-Pacific Forest Industries Inc. Pulp Mill,Chemical wood pulp; Pulp from fibres other than wood,CAN,manufacturing,pulp-and-paper,54.5873425,-112.8033552,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999775829,t of CO2e_100yr per t of pulp & paper,month,2024,12,152208.26281000001,88433.000687,13636.363635,0.9301616061478747
44375408,Boyle Kraft Pulp Mill,Pulp misc.,CAN,manufacturing,pulp-and-paper,54.923509,-112.864144,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000302125,t of CO2e_100yr per t of pulp & paper,month,2024,12,259087.11156,150529.61185,23211.657515,0.9301616059116719
44375409,Cabano Fiber Pulp & Containerboard Mill,Pulp misc.,CAN,manufacturing,pulp-and-paper,47.668314,-68.863312,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999775829,t of CO2e_100yr per t of pulp & paper,month,2024,12,152208.26281000001,88433.000687,13636.363635,0.9301616061478747
44375388,Canfor Pulp Limited - Northwood Pulp Mill,Chemical wood pulp; Pulp from fibres other than wood,CAN,manufacturing,pulp-and-paper,53.9773548,-122.6954288,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999775829,t of CO2e_100yr per t of pulp & paper,month,2024,12,152208.26281000001,88433.000687,13636.363635,0.9301616061478747
44375389,Cariboo Pulp & Paper Co Pulp Mill,Chemical wood pulp; Pulp from fibres other than wood,CAN,manufacturing,pulp-and-paper,52.9966902,-122.4859641,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999775829,t of CO2e_100yr per t of pulp & paper,month,2024,12,152208.26281000001,88433.000687,13636.363635,0.9301616061478747
44375410,Castlegar Pulp Mill,Pulp misc.,CAN,manufacturing,pulp-and-paper,49.336817,-117.733473,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999775829,t of CO2e_100yr per t of pulp & paper,month,2024,12,152208.26281000001,88433.000687,13636.363635,0.9301616061478747
