source_id,source_name,iso3_country,lat,lon,year,annual_yield_kwh_per_kwp,capacity_factor,pvgis_raddatabase,tilt_deg,azimuth_deg,system_loss_pct
44375648,Bukocel a.s. Pulpmill - Bukóza Holding Pulp Mill,SVK,48.8633371,21.7287537,2023,1256.7472500000001,0.1434642979452055,PVGIS-ERA5,48.8633371,0,0.0
44375649,Mondi SCP Pulp Mill,SVK,49.0782433,19.3182058,2023,1266.03073,0.14452405593607306,PVGIS-ERA5,49.0782433,0,0.0
44375650,VIPAP VIDEM KRŠKO d.d. Pulp Mill,SVN,45.9561765,15.4921437,2023,1418.4677499999998,0.1619255422374429,PVGIS-ERA5,45.9561765,0,0.0
44375652,Domsjö Fabriker AB,SWE,63.2900474,18.7166166,2023,1207.28926,0.1378184086757991,PVGIS-ERA5,63.2900474,0,0.0
44375651,Nordic Paper,SWE,59.2957139419109,14.1316787525493,2023,1223.28074,0.1396439200913242,PVGIS-ERA5,59.2957139419109,0,0.0
44375660,SCA Massa Östrands massafabrik SCA Graphic Sundsvall AB Pulp Mill,SWE,62.4854563,17.3248651,2023,1210.7909600000003,0.1382181461187215,PVGIS-ERA5,62.4854563,0,0.0
44375659,SCA Ortviken Pulp Mill,SWE,62.390811,17.306927,2023,1201.9453,0.13720836757990867,PVGIS-ERA5,62.390811,0,0.0
44375653,Stora Enso Consumer Board Fors Mill,SWE,60.128161,18.643501,2023,1176.3332300000002,0.13428461529680366,PVGIS-ERA5,60.128161,0,0.0
44375658,Stora Enso Packaging Boards Skoghall Mill - Udden,SWE,59.3234598,13.4595214,2023,1239.74098,0.14152294292237444,PVGIS-ERA5,59.3234598,0,0.0
44375657,Sylvamo Nymölla Mill - Sylvamo Pulp Mill,SWE,56.043586,14.4629943,2023,1290.06531,0.1472677294520548,PVGIS-ERA5,56.043586,0,0.0
44375654,Södra Cell AB - Södra Cell Mönsterås,SWE,57.0932528661614,16.5531215056192,2023,1296.7380300000002,0.14802945547945207,PVGIS-ERA5,57.0932528661614,0,0.0
44375655,Södra Cell AB - Södra Cell Mörrum,SWE,56.1938314,14.748156,2023,1299.3519499999998,0.14832784817351596,PVGIS-ERA5,56.1938314,0,0.0
44375661,Södra Cell AB - Södra Cell Värö,SWE,57.2502804,12.1823234,2023,1265.46711,0.14445971575342467,PVGIS-ERA5,57.2502804,0,0.0
44375663,Södra Cell Virkesvägen 1,SWE,57.2850024822815,12.4442615189103,2023,1223.56547,0.13967642351598172,PVGIS-ERA5,57.2850024822815,0,0.0
44375662,Södra Cell Värö,SWE,57.2600040100003,12.1769718719116,2023,1265.7708400000001,0.1444943881278539,PVGIS-ERA5,57.2600040100003,0,0.0
