source_name,source_id,system:index,tree_cover_km2,shrubland_km2,grassland_km2,cropland_km2,built_up_km2,bare_sparse_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2
Almina Jsc.,38478594,0000000000000000006d,24.036266740384924,,37.90741678797129,409.0917611081773,13.333148049329328,0.05843428503417969,,11.546773496668438,2.548398828246831,,
Amilum Bg Ead,38480259,0000000000000000006e,52.43294337644784,6.514323120117187E-4,18.413061050595505,247.22975057080134,11.524386764393766,0.09000044610595703,,0.21817480066253064,0.022826012145996093,,
Arda Ltd.,38479157,0000000000000000006f,26.75517847393344,,20.213149062581387,174.0244298226008,16.503233951866,0.12382857415771484,,5.672733385002107,0.8569278361639285,,
B.E.G.S Fashion Pltd (Site 2),38478768,00000000000000000070,13.878045760697429,0.024048252380371095,22.670157380574082,41.07776049625341,11.540597413116815,0.4564245330810547,,1.8842107374167052,0.028706186279296875,,
Bames Eood,38478754,00000000000000000071,18.115520681543444,6.700455322265625E-4,9.959205594817515,28.439628172735713,1.881675873753686,0.005362075378417969,,5.525628643310547,0.009380592407226563,,
Begs Fashion Pltd,38475172,00000000000000000072,9.457625478634823,0.8159751390107995,26.770617874731926,28.21913187432191,8.524489702662091,0.3558595533447266,,0.4707947881469727,0.007400208190917969,,
Beli Izvor Cement Plant,32437258,00000000000000000073,86.21578935769405,0.05496281030273437,51.799678336718245,158.52803789063543,14.657331938461242,0.2329087733843635,,1.713477293334961,0.04714620159912109,,
Bi Ei Glas Bg Glass Manufacturing Company,38468969,00000000000000000074,23.87616603760005,0.07603103564453124,90.13331564387278,362.1370521865632,72.82844965765787,1.3546084055786132,,0.9558212031860351,0.06727973504638672,,
Bi Ei Glass Bg Glass Manufacturing Company,38468970,00000000000000000075,72.5683157697079,,62.198132308040584,234.04536507669138,125.5520828200239,2.6007889757632987,,4.147439110968376,0.08849221148681641,,
Bulstar Ltd,38470863,00000000000000000076,14.646630113915055,3.80026065714973,28.880663134864477,41.109958557957306,11.090198410366405,0.12883652504954618,,0.1254080620727539,0.04180125567626953,,
Burov I Sie Ood,38475230,00000000000000000077,17.469466684027218,2.560238753157552,16.398849856294035,26.57234356708363,6.6788638791573325,0.06417072715992647,,0.12476462493896484,0.0397786767578125,,
D.San Eood,38477240,00000000000000000078,11.174480744232302,1.8186402501764036,30.120062217111627,36.651505649045696,9.341101362059348,0.3619274083251953,,0.5476534740600586,0.047852101623535155,,
Darvodelnitsa Eood,38479037,00000000000000000079,6.547506607471421,0.015478616943359376,11.33545297579585,7.866949315398572,6.933577103881836,0.06525051934814453,,0.08476733581542968,,,
Designer Concepts Eood,38479093,0000000000000000007a,58.45563402188839,0.0026468519287109376,48.15860271662147,165.56689642271044,86.72295234122167,2.5202703310431986,,4.7116731136544034,0.08327665576171875,,0.0
Devnya Cement Plant,32437257,0000000000000000007b,48.13672774755262,,55.845773261656994,293.1017047126454,17.90034296505318,1.6937623679931642,,1.9249437296267042,1.28944532998741,,
Dexa Group Ltd,38479114,0000000000000000007c,50.73733772205499,,27.84994899620337,462.8779076240929,22.263650433630133,0.14529503900146484,,0.21372989324951172,0.01042195751953125,,
Dimitrovgrad Fertilizer Complex,45257068,0000000000000000007d,88.69328634572034,0.03204323162841797,49.4150600132346,319.75407848062656,25.822822287296308,0.49708911157226565,,3.0467476975126377,0.16483540985107423,,
Diss-3 Eood,38475511,0000000000000000007e,10.767944529127654,1.4052191875521791,29.110820923993046,34.60320100660903,8.900773203579773,0.3599045759277344,,0.5476534740600586,0.04650343646240234,,
E Miroglio Ead Spinning And Dyeing Yambol,38475621,0000000000000000007f,1.114670261447323,0.0,4.893092840879913,88.70958134023951,3.7991812116222916,0.003974384399414063,,0.012595728637695312,0.015897415118049173,,
E.Miroglio Ead,38469517,00000000000000000080,16.257489431406295,0.005962347717285156,36.156889023471244,194.82363167466664,27.58467586398471,0.21042013598632814,,0.24739244666915594,0.05297050433349609,,
