iso3_country,year,technology,income_group,wb_region,capex_$/kw,fom_$/kw/yr,vom_$/mwh,lcoe_$/mwh,wacc_nominal,crf,annual_cost_$/kw/yr,data_source,capex_source,crf_source,proxy_peers,country_name
CHE,2030,PV fixed-axis,HIC,Europe & Central Asia,429.06,10.4559,0,35.54,0.022926,0.052997,33.19,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Switzerland
CHL,2025,PV fixed-axis,HIC,Latin America & Caribbean,623.4,13.9697,0,45.95,0.068698,0.084806,66.84,proxied,peer_mean_income,irena,ARE|AUS|CAN|DEU|ESP|FRA|GBR|ITA|JPN|KOR|USA,Chile
CHL,2030,PV fixed-axis,HIC,Latin America & Caribbean,497.26,13.0839,0,36.88,0.068698,0.084806,55.25,proxied,peer_mean_income,irena,ARE|AUS|CAN|DEU|ESP|FRA|GBR|ITA|JPN|KOR|USA,Chile
CHN,2025,PV fixed-axis,UMIC,East Asia & Pacific,419.49,5.1078,0,28.23,0.038127,0.062751,31.43,bnef,bnef,irena,,China
CHN,2030,PV fixed-axis,UMIC,East Asia & Pacific,356.38,4.7831,0,24.36,0.038127,0.062751,27.15,bnef,bnef,irena,,China
CIV,2025,PV fixed-axis,LMIC,Sub-Saharan Africa,457.05,8.6566,0,39.05,,0.142378,73.73,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Côte d'Ivoire
CIV,2030,PV fixed-axis,LMIC,Sub-Saharan Africa,390.9,8.1074,0,29.11,,0.142378,63.76,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Côte d'Ivoire
CMR,2025,PV fixed-axis,LMIC,Sub-Saharan Africa,457.05,8.6566,0,39.05,,0.142378,73.73,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Cameroon
CMR,2030,PV fixed-axis,LMIC,Sub-Saharan Africa,390.9,8.1074,0,29.11,,0.142378,63.76,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Cameroon
COD,2025,PV fixed-axis,LIC,Sub-Saharan Africa,573.91,12.2751,0,44.09,,0.144433,95.17,proxied,global_mean,peer_mean,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,"Congo, Democratic Republic of the"
COD,2030,PV fixed-axis,LIC,Sub-Saharan Africa,462.06,11.5,0,34.46,,0.144433,78.24,proxied,global_mean,peer_mean,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,"Congo, Democratic Republic of the"
COG,2025,PV fixed-axis,LMIC,Sub-Saharan Africa,457.05,8.6566,0,39.05,,0.142378,73.73,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Congo
COG,2030,PV fixed-axis,LMIC,Sub-Saharan Africa,390.9,8.1074,0,29.11,,0.142378,63.76,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Congo
COL,2025,PV fixed-axis,UMIC,Latin America & Caribbean,535.15,10.7181,0,43.04,0.090857,0.102514,65.58,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Colombia
COL,2030,PV fixed-axis,UMIC,Latin America & Caribbean,427.3,10.0509,0,32.32,0.090857,0.102514,53.86,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Colombia
COM,2025,PV fixed-axis,LMIC,Sub-Saharan Africa,457.05,8.6566,0,39.05,,0.142378,73.73,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Comoros
COM,2030,PV fixed-axis,LMIC,Sub-Saharan Africa,390.9,8.1074,0,29.11,,0.142378,63.76,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Comoros
CPV,2025,PV fixed-axis,LMIC,Sub-Saharan Africa,457.05,8.6566,0,39.05,,0.142378,73.73,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Cabo Verde
CPV,2030,PV fixed-axis,LMIC,Sub-Saharan Africa,390.9,8.1074,0,29.11,,0.142378,63.76,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Cabo Verde
CRI,2025,PV fixed-axis,UMIC,Latin America & Caribbean,535.15,10.7181,0,43.04,0.09443,0.105483,67.17,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Costa Rica
CRI,2030,PV fixed-axis,UMIC,Latin America & Caribbean,427.3,10.0509,0,32.32,0.09443,0.105483,55.12,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Costa Rica
CUB,2025,PV fixed-axis,Unknown,Unknown,573.91,12.2751,0,44.09,0.116335,0.124269,83.59,proxied,global_mean,irena,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Cuba
