subsector,nace_r2,geo,fossil_tj,biomass_tj,reliable,fossil_share,fossil_share_eu27,fossil_share_final
food-beverage-tobacco,C10-C12,IE,16097.285,487.652,True,0.9705966926494808,0.8940834956611184,0.9705966926494808
food-beverage-tobacco,C10-C12,IT,56589.623,1859.096,True,0.9681926989708706,0.8940834956611184,0.9681926989708706
food-beverage-tobacco,C10-C12,LT,4691.554,740.0,True,0.863759064164694,0.8940834956611184,0.863759064164694
food-beverage-tobacco,C10-C12,LU,284.185,0.0,True,1.0,0.8940834956611184,1.0
food-beverage-tobacco,C10-C12,LV,1274.2569999999998,233.382,True,0.8452003430529457,0.8940834956611184,0.8452003430529457
food-beverage-tobacco,C10-C12,MD,661.791,169.0,True,0.7965794044470872,0.8940834956611184,0.7965794044470872
food-beverage-tobacco,C10-C12,ME,760.452,385.1,True,0.6638301884157156,0.8940834956611184,0.6638301884157156
food-beverage-tobacco,C10-C12,MT,123.78,0.0,True,1.0,0.8940834956611184,1.0
food-beverage-tobacco,C10-C12,NL,51298.661,0.0,False,1.0,0.8940834956611184,0.8940834956611184
food-beverage-tobacco,C10-C12,PL,62144.18699999999,1681.56,True,0.9736538923704254,0.8940834956611184,0.9736538923704254
food-beverage-tobacco,C10-C12,PT,9158.939,1048.941,True,0.8972420326257753,0.8940834956611184,0.8972420326257753
food-beverage-tobacco,C10-C12,RO,13433.707,1393.508,True,0.9060168750503719,0.8940834956611184,0.9060168750503719
food-beverage-tobacco,C10-C12,RS,4511.4400000000005,4423.519,True,0.504920056152468,0.8940834956611184,0.504920056152468
food-beverage-tobacco,C10-C12,SE,3122.346,2538.305,True,0.5515877944073924,0.8940834956611184,0.5515877944073924
food-beverage-tobacco,C10-C12,SI,1523.036,115.446,True,0.9295408799120162,0.8940834956611184,0.9295408799120162
food-beverage-tobacco,C10-C12,SK,4425.656000000001,270.0,True,0.9425000468518137,0.8940834956611184,0.9425000468518137
glass,C231,AT,0.0,0.0,False,,0.9994199378915113,0.9994199378915113
glass,C231,BE,86.402,0.1,False,0.9988439573651476,0.9994199378915113,0.9994199378915113
glass,C231,BG,7339.3,0.0,False,1.0,0.9994199378915113,0.9994199378915113
glass,C231,CY,12.961,0.0,True,1.0,0.9994199378915113,1.0
glass,C231,CZ,9851.28,1.501,False,0.9998476572248992,0.9994199378915113,0.9994199378915113
glass,C231,DE,44800.375,9.0,True,0.9997991491735826,0.9994199378915113,0.9997991491735826
glass,C231,DK,954.5329999999999,2.651,True,0.9972304175581707,0.9994199378915113,0.9972304175581707
glass,C231,EE,292.326,1.721,True,0.9941471941560363,0.9994199378915113,0.9941471941560363
glass,C231,EL,0.0,0.0,False,,0.9994199378915113,0.9994199378915113
glass,C231,ES,17222.163,5.859,True,0.9996599145276225,0.9994199378915113,0.9996599145276225
glass,C231,EU27,169319.792,98.273,True,0.9994199378915113,0.9994199378915113,0.9994199378915113
glass,C231,FI,624.019,41.0,True,0.9383476261580497,0.9994199378915113,0.9383476261580497
glass,C231,FR,31902.626,20.272,True,0.9993649699347471,0.9994199378915113,0.9993649699347471
glass,C231,HR,1647.6819999999998,4.106,True,0.9975142088452029,0.9994199378915113,0.9975142088452029
glass,C231,HU,891.9300000000001,0.0,True,1.0,0.9994199378915113,1.0
glass,C231,IE,0.0,0.0,False,,0.9994199378915113,0.9994199378915113
glass,C231,IT,10820.042,0.833,True,0.9999230191643467,0.9994199378915113,0.9999230191643467
glass,C231,LT,235.22199999999998,0.0,True,1.0,0.9994199378915113,1.0
glass,C231,LU,0.0,0.0,False,,0.9994199378915113,0.9994199378915113
glass,C231,LV,531.777,0.0,True,1.0,0.9994199378915113,1.0
glass,C231,MD,1035.676,0.0,True,1.0,0.9994199378915113,1.0
glass,C231,ME,0.0,0.0,False,,0.9994199378915113,0.9994199378915113
glass,C231,MT,14.704,0.0,False,1.0,0.9994199378915113,0.9994199378915113
glass,C231,NL,5157.715,0.0,False,1.0,0.9994199378915113,0.9994199378915113
glass,C231,PL,24628.914,6.709,True,0.9997276707798297,0.9994199378915113,0.9997276707798297
glass,C231,PT,7280.459,0.0,True,1.0,0.9994199378915113,1.0
