sector,reference_twh,cc,bottom_up_twh,coverage_pct
Steel,3.172724277629126,FI,2.544092638406226,80.18637662101996
Textiles & Leather,0.0728719666309202,FI,0.0,0.0
Cement (+lime),8.360254282284497,FR,8.467838848789706,101.28685758677437
Ceramics & Glass,14.141299129457883,FR,2.09179199125,14.792077956208189
Chemicals,14.337046400684889,FR,21.803294932623864,152.0766155264888
"Food, Bev & Tobacco",17.810892612449717,FR,17.748022978439497,99.64701581566847
Non-ferrous Metals,1.309948764310299,FR,0.33639732139235967,25.68018922247514
Pulp & Paper,14.503459816594393,FR,3.319276916465854,22.88610413267077
Steel,6.097600690201923,FR,8.426421559240213,138.1924134976633
Textiles & Leather,0.752443186461524,FR,1.0599667296257052,140.8700017087478
Cement (+lime),1.1793874929434445,HR,1.3635212717625333,115.61266165028924
Ceramics & Glass,0.6748961461982984,HR,0.0,0.0
Chemicals,0.3705559856979536,HR,0.20024999999999998,54.040417029783754
"Food, Bev & Tobacco",0.5968197853285261,HR,0.5968197853285261,100.0
Non-ferrous Metals,0.06433050180088609,HR,0.0,0.0
Pulp & Paper,0.46108460479108837,HR,0.09812541668154166,21.28143417974258
Steel,0.0463544124762795,HR,0.0,0.0
Textiles & Leather,0.0561915163218965,HR,0.07180851940120347,127.79245712082947
Cement (+lime),1.0134010632884691,HU,1.7851467430885966,176.1540230968207
Ceramics & Glass,1.7239855502595998,HU,0.2387328125,13.847726998874865
Chemicals,3.070016483037817,HU,5.2059461025,169.57388115873096
"Food, Bev & Tobacco",2.5993290718939166,HU,2.599329071893916,100.0
Non-ferrous Metals,0.3186467665510137,HU,0.0,0.0
Pulp & Paper,1.439649498533775,HU,0.059499999997520814,4.132950420093166
Steel,0.8600391473804553,HU,0.22399999999999987,26.04532603920052
Textiles & Leather,0.1094712452474228,HU,0.0,0.0
Cement (+lime),1.5817059519374492,IE,2.013273810986867,127.2849614380464
Ceramics & Glass,1.0086779027093582,IE,0.0,0.0
Chemicals,0.0,IE,0.0,
"Food, Bev & Tobacco",2.108869637353587,IE,2.108869637353587,100.0
Non-ferrous Metals,2.290231033133858,IE,3.515041663190301,153.47978489228936
Pulp & Paper,0.06485631487606319,IE,0.0,0.0
Steel,0.0,IE,0.0,
Textiles & Leather,0.10417893792803601,IE,0.0,0.0
